id,DrawDate,FirstPrize,FirstThree DigitsPrize,LastThreeDigitsPrize,LastTwoDigitsPrize
368,1 มิถุนายน 2565,319196,817 679,213 652,02
367,16 พฤษภาคม 2565,155012,247 736,236 540,06
366,2 พฤษภาคม 2565,658642,778 518,041 325,09
365,16 เมษายน 2565,395919,289 859,413 508,58
364,1 เมษายน 2565,970618,738 391,578 870,10
363,16 มีนาคม 2565,737867,349 985,989 788,03
362,1 มีนาคม 2565,061905,236 834,234 691,07
361,17 กุมภาพันธ์ 2565,098597,085 644,592 816,57
360,1 กุมภาพันธ์ 2565,944308,942 061,509 485,30
359,17 มกราคม 2565,880159,731 786,119 529,92
358,30 ธันวาคม 2564,819068,591 979,419 547,36
357,16 ธันวาคม 2564,639235,097 629,476 522,83
356,1 ธันวาคม 2564,077258,739 740,401 485,82
355,16 พฤศจิกายน 2564,032761,648 471,844 245,57
354,1 พฤศจิกายน 2564,045037,247 458,331 755,95
353,16 ตุลาคม 2564,386372,602 964,295 798,38
352,1 ตุลาคม 2564,578171,285 361,379 449,83
351,16 กันยายน 2564,070935,609 817,379 007,90
350,1 กันยายน 2564,114475,278 302,123 458,79
349,16 สิงหาคม 2564,046750,421 666,160 355,23
348,1 สิงหาคม 2564,910261,103 307,004 785,69
347,16 กรกฎาคม 2564,556725,058 174,233 927,70
346,1 กรกฎาคม 2564,713517,794 073,511 414,29
345,16 มิถุนายน 2564,691861,054 007,447 668,17
344,1 มิถุนายน 2564,292972,620 193,978 723,45
343,16 พฤษภาคม 2564,684579,615 843,276 970,14
342,2 พฤษภาคม 2564,501272,306 018,498 129,18
341,16 เมษายน 2564,100787,013 143,264 478,56
340,1 เมษายน 2564,472270,755 283,393 577,05
339,16 มีนาคม 2564,890422,036 902,396 256,19
338,1 มีนาคม 2564,835538,290 838,051 806,73
337,16 กุมภาพันธ์ 2564,424603,861 318,057 817,39
336,1 กุมภาพันธ์ 2564,912307,605 248,282 651,97
335,17 มกราคม 2564,384395,367 653,566 878,15
334,30 ธันวาคม 2563,803628,336 804,321 924,19
333,16 ธันวาคม 2563,201303,377 828,072 517,70
332,1 ธันวาคม 2563,100994,093 776,834 984,84
331,16 พฤศจิกายน 2563,972661,368 741,208 255,46
330,1 พฤศจิกายน 2563,506404,154 598,062 245,40
329,16 ตุลาคม 2563,286051,189 464,980 045,38
328,1 ตุลาคม 2563,837893,594 757,110 595,59
327,16 กันยายน 2563,244083,127 220,623 853,57
326,1 กันยายน 2563,999997,636 725,342 957,98
325,16 สิงหาคม 2563,945811,712 614,364 733,88
324,1 สิงหาคม 2563,569391,575 931,578 809,92
323,16 กรกฎาคม 2563,873286,510 533,682 494,53
322,1 กรกฎาคม 2563,347258,095 362,094 307,83
321,16 มิถุนายน 2563,516967,876 882,565 625,64
320,1 มิถุนายน 2563,831567,264 489,562 582,24
319,16 พฤษภาคม 2563,051095,285 430,191 364,22
318,1 เมษายน 2563,051095,285 430,191 364,22
317,16 มีนาคม 2563,503446,258 726,404 661,77
316,1 มีนาคม 2563,875938,294 328,597 780,98
315,16 กุมภาพันธ์ 2563,781403,515 952,030 918,94
314,1 กุมภาพันธ์ 2563,589227,259 552,375 927,06
313,17 มกราคม 2563,491774,004 132,379 595,68
312,30 ธันวาคม 2562,510541,116 382,140 250,81
311,16 ธันวาคม 2562,529924,043 138,555 665,97
310,1 ธันวาคม 2562,453522,617 261,457 013,81
309,16 พฤศจิกายน 2562,017223,164 640,085 194,32
308,1 พฤศจิกายน 2562,967375,323 806,021 206,79
307,16 ตุลาคม 2562,812564,255 625,132 598,15
306,1 ตุลาคม 2562,691197,392 920,606 797,59
305,16 กันยายน 2562,340388,947 733,925 939,85
304,1 กันยายน 2562,798787,210 847,274 439,20
303,16 สิงหาคม 2562,775476,149 912,563 580,89
302,1 สิงหาคม 2562,387006,135 983,562 795,58
301,15 กรกฎาคม 2562,369765,901 355,556 113,88
300,1 กรกฎาคม 2562,943647,239 864,006 375,86
299,16 มิถุนายน 2562,174055,625 884,127 800,29
298,1 มิถุนายน 2562,516461,589 713,215 560,46
297,16 พฤษภาคม 2562,962526,669 949,018 828,71
296,2 พฤษภาคม 2562,061324,043 476,374 699,25
295,16 เมษายน 2562,570331,512 930,966 968,23
294,1 เมษายน 2562,109767,888 959,403 975,52
293,16 มีนาคม 2562,724628,148 883,154 877,64
292,1 มีนาคม 2562,345650,137 999,830 837,65
291,16 กุมภาพันธ์ 2562,074824,881 910,612 879,56
290,1 กุมภาพันธ์ 2562,967134,643 779,197 948,04
289,17 มกราคม 2562,197079,206 412,127 660,65
288,30 ธันวาคม 2561,735867,031 913,701 884,02
287,16 ธันวาคม 2561,356564,480 948,297 369,62
286,1 ธันวาคม 2561,021840,045 307,561 988,67
285,16 พฤศจิกายน 2561,989903,471 930,140 876,16
284,1 พฤศจิกายน 2561,149840,384 576,046 509,58
283,16 ตุลาคม 2561,200515,186 392,192 212,93
282,1 ตุลาคม 2561,452643,726 594,810 561,99
281,16 กันยายน 2561,149760,323 539,155 297,79
280,1 กันยายน 2561,734510,512 464,202 097,26
279,16 สิงหาคม 2561,586117,670 340,815 591,10
278,1 สิงหาคม 2561,386602,832 903,549 726,78
277,16 กรกฎาคม 2561,596324,403 530,138 362,27
276,1 กรกฎาคม 2561,963623,429 901,210 217,83
275,16 มิถุนายน 2561,223131,432 507,132 868,46
274,1 มิถุนายน 2561,988117,310 553,248 650,95
273,16 พฤษภาคม 2561,075629,357 130,506 047,20
272,2 พฤษภาคม 2561,248038,527 980,225 602,85
271,16 เมษายน 2561,739229,273 654,076 526,60
270,1 เมษายน 2561,412073,131 787,638 924,85
269,16 มีนาคม 2561,218559,064 720,205 489,82
268,2 มีนาคม 2561,759415,318 870,589 723,29
267,16 กุมภาพันธ์ 2561,309915,007 388,230 748,39
266,1 กุมภาพันธ์ 2561,026853,106 947,181 519,31
265,17 มกราคม 2561,203823,624 799,236 397,50
264,30 ธันวาคม 2560,911234,495 373,953 504,98
263,16 ธันวาคม 2560,955596,616 836,290 938,89
262,1 ธันวาคม 2560,451005,626 303,601 257,33
261,16 พฤศจิกายน 2560,292391,831 961,477 628,98
260,1 พฤศจิกายน 2560,533726,165 425,485 036,85
259,16 ตุลาคม 2560,413494,180 971,128 287,86
258,1 ตุลาคม 2560,880714,611 726,462 952,52
257,16 กันยายน 2560,170143,172 647,340 388,71
256,1 กันยายน 2560,143224,345 679,195 278,65
255,16 สิงหาคม 2560,715431,115 302,253 945,37
254,1 สิงหาคม 2560,756519,061 386,787 989,36
253,16 กรกฎาคม 2560,820327,584 835,390 823,87
252,1 กรกฎาคม 2560,112360,226 489,005 688,26
251,16 มิถุนายน 2560,943142,626 878,740 373,47
250,1 มิถุนายน 2560,053630,121 218,581 881,61
249,16 พฤษภาคม 2560,454891,008 396,490 603,53
248,2 พฤษภาคม 2560,008656,573 949,773 923,35
247,16 เมษายน 2560,816729,766 973,241 807,40
246,1 เมษายน 2560,392785,020 057,500 709,80
245,16 มีนาคม 2560,273863,324 918,694 941,92
244,1 มีนาคม 2560,978453,450 560,052 577,78
243,16 กุมภาพันธ์ 2560,229116,128 464,375 953,14
242,1 กุมภาพันธ์ 2560,054672,066 807,426 628,42
241,17 มกราคม 2560,145157,511 663,516 836,25
240,30 ธันวาคม 2559,377712,304 890,477 769,46
239,16 ธันวาคม 2559,435286,596 366,716 199,35
238,1 ธันวาคม 2559,086069,513 873,148 450,77
237,16 พฤศจิกายน 2559,858383,682 040,570 558,44
236,1 พฤศจิกายน 2559,785438,976 824,752 038,86
235,16 ตุลาคม 2559,571947,692 885,032 587,98
234,1 ตุลาคม 2559,887102,280 194,458 017,33
233,16 กันยายน 2559,240650,583 493,043 160,42
232,1 กันยายน 2559,638684,334 335,630 669,62
231,16 สิงหาคม 2559,254004,966 366,596 631,33
230,1 สิงหาคม 2559,272932,538 983,472 871,57
229,16 กรกฎาคม 2559,449764,734 552,925 158,55
228,1 กรกฎาคม 2559,082460,169 609,173 302,53
227,16 มิถุนายน 2559,073816,804 251,749 321,79
226,1 มิถุนายน 2559,511825,775 111,937 880,14
225,16 พฤษภาคม 2559,141737,382 975,087 268,98
224,2 พฤษภาคม 2559,399459,238 403,671 046,02
223,16 เมษายน 2559,221609,228 008,507 523,87
222,1 เมษายน 2559,066720,546 390,285 852,92
221,16 มีนาคม 2559,134918,877 855,973 004,32
220,1 มีนาคม 2559,439686,530 426,155 743,06
219,16 กุมภาพันธ์ 2559,356364,699 312,309 535,98
218,1 กุมภาพันธ์ 2559,927800,625 999,054 076,09
217,17 มกราคม 2559,304371,031 532,786 743,50
216,30 ธันวาคม 2558,008217,246 264,895 596,02
215,17 ธันวาคม 2558,930255,140 250,094 638,08
214,1 ธันวาคม 2558,915350,238 181,714 175,78
213,16 พฤศจิกายน 2558,795283,241 028,643 802,03
212,1 พฤศจิกายน 2558,361211,106 757,166 473,45
211,16 ตุลาคม 2558,968630,457 134,412 054,62
210,1 ตุลาคม 2558,594825,175 918,440 799,07
209,16 กันยายน 2558,743148,435 209,375 084,06
208,1 กันยายน 2558,021094,260 403,068 819,89
207,16 สิงหาคม 2558,033363,,781 227 624 648,40
206,1 สิงหาคม 2558,518677,,333 598 648 889,53
205,16 กรกฎาคม 2558,121507,,761 461 830 294,49
204,1 กรกฎาคม 2558,759049,,565 814 081 567,26
203,16 มิถุนายน 2558,644742,,429 253 386 532,05
202,2 มิถุนายน 2558,388881,,314 700 876 969,65
201,16 พฤษภาคม 2558,011421,,799 484 851 928,38
200,2 พฤษภาคม 2558,543466,,818 163 366 195,30
199,16 เมษายน 2558,506260,,101 164 495 973,38
198,1 เมษายน 2558,605704,,558 962 557 861,70
197,16 มีนาคม 2558,048151,,339 622 623 757,92
196,1 มีนาคม 2558,240237,,498 031 857 008,34
195,16 กุมภาพันธ์ 2558,001864,,843 103 825 392,90
194,1 กุมภาพันธ์ 2558,155537,,083 286 813 008,79
193,16 มกราคม 2558,244351,,068 398 595 877,74
192,30 ธันวาคม 2557,461704,,853 982 535 950,57
191,16 ธันวาคม 2557,948354,,080 763 775 901,90
190,1 ธันวาคม 2557,480449,,820 380 580 161,11
189,16 พฤศจิกายน 2557,479804,,179 422 480 709,25
188,1 พฤศจิกายน 2557,206608,,607 203 855 979,44
187,16 ตุลาคม 2557,656409,,647 784 848 910,94
186,1 ตุลาคม 2557,375615,,251 086 159 520,44
185,16 กันยายน 2557,772269,,112 257 342 790,35
184,1 กันยายน 2557,856763,,308 912 477 490,22
183,16 สิงหาคม 2557,662842,,639 912 187 633,91
182,1 สิงหาคม 2557,766391,,349 576 623 637,82
181,16 กรกฎาคม 2557,468728,,104 944 117 205,45
180,1 กรกฎาคม 2557,378477,,123 271 441 864,39
179,16 มิถุนายน 2557,673920,,158 140 639 576,95
178,1 มิถุนายน 2557,781198,,160 324 409 636,18
177,16 พฤษภาคม 2557,087523,,150 505 112 246,20
176,2 พฤษภาคม 2557,103297,,143 158 673 797,52
175,16 เมษายน 2557,153406,,344 013 355 634,26
174,1 เมษายน 2557,028866,,186 499 835 938,95
173,16 มีนาคม 2557,531404,,250 305 400 904,79
172,1 มีนาคม 2557,906318,,116 537 753 798,35
171,16 กุมภาพันธ์ 2557,384245,,397 530 074 521,01
170,1 กุมภาพันธ์ 2557,180149,,406 492 888 976,95
169,16 มกราคม 2557,306902,,077 149 242 510,52
168,30 ธันวาคม 2556,561072,,513 750 503 275,48
167,16 ธันวาคม 2556,341767,,111 228 742 826,79
166,1 ธันวาคม 2556,168795,,734 766 074 980,27
165,16 พฤศจิกายน 2556,806925,,069 304 672 753,28
164,1 พฤศจิกายน 2556,739804,,502 020 256 173,47
163,16 ตุลาคม 2556,963289,,402 529 876 952,60
162,1 ตุลาคม 2556,647882,,576 324 650 028,14
161,16 กันยายน 2556,562684,,056 235 574 754,63
160,1 กันยายน 2556,548123,,281 570 800 045,05
159,16 สิงหาคม 2556,321327,,417 945 448 201,20
158,1 สิงหาคม 2556,356435,,880 451 718 329,82
157,16 กรกฎาคม 2556,566996,,352 210 584 526,86
156,1 กรกฎาคม 2556,646905,,075 284 903 904,51
155,16 มิถุนายน 2556,289673,,390 098 114 502,69
154,1 มิถุนายน 2556,935489,,480 713 716 768,90
153,16 พฤษภาคม 2556,687125,,034 261 390 945,56
152,2 พฤษภาคม 2556,603458,,272 359 516 830,07
151,16 เมษายน 2556,843846,,834 862 906 828,86
150,1 เมษายน 2556,571688,,170 430 670 725,53
149,16 มีนาคม 2556,968433,,860 959 175 529,52
148,1 มีนาคม 2556,976241,,972 721 133 775,37
147,16 กุมภาพันธ์ 2556,368257,,657 708 109 386,09
146,1 กุมภาพันธ์ 2556,565566,,452 695 641 782,66
145,16 มกราคม 2556,820981,,555 196 374 334,08
144,30 ธันวาคม 2555,302358,,589 864 126 832,00
143,16 ธันวาคม 2555,529524,,734 745 778 008,72
142,1 ธันวาคม 2555,110443,,434 553 489 303,43
141,16 พฤศจิกายน 2555,639500,,576 560 804 627,15
140,1 พฤศจิกายน 2555,524694,,217 188 285 338,63
139,16 ตุลาคม 2555,281343,,089 152 396 868,28
138,1 ตุลาคม 2555,124025,,940 554 291 873,58
137,16 กันยายน 2555,540143,,123 242 752 770,79
136,1 กันยายน 2555,329997,,148 598 639 736,07
135,16 สิงหาคม 2555,683877,,032 612 730 775,28
134,1 สิงหาคม 2555,895590,,820 599 796 745,50
133,16 กรกฎาคม 2555,904050,,897 224 159 042,11
132,1 กรกฎาคม 2555,915900,,715 656 530 611,60
131,16 มิถุนายน 2555,159373,,238 479 547 790,51
130,1 มิถุนายน 2555,882727,,606 576 895 399,38
129,16 พฤษภาคม 2555,814418,,504 309 902 101,31
128,2 พฤษภาคม 2555,889501,,589 597 426 468,29
127,16 เมษายน 2555,583470,,088 216 722 754,62
126,1 เมษายน 2555,257562,,074 332 581 616,69
125,16 มีนาคม 2555,607064,,333 350 573 606,08
124,1 มีนาคม 2555,222518,,295 135 711 199,79
123,16 กุมภาพันธ์ 2555,648684,,906 214 111 420,18
122,1 กุมภาพันธ์ 2555,320605,,426 498 598 749,32
121,16 มกราคม 2555,451445,,328 150 941 639,81
120,30 ธันวาคม 2554,526402,,168 026 541 597,65
119,16 ธันวาคม 2554,884178,,784 235 295 651,21
118,1 ธันวาคม 2554,408147,,922 253 857 739,02
117,16 พฤศจิกายน 2554,997777,,425 551 406 993,57
116,1 พฤศจิกายน 2554,805540,,065 221 380 771,54
115,16 ตุลาคม 2554,955756,,057 329 507 991,83
114,1 ตุลาคม 2554,511052,,104 189 499 957,15
113,16 กันยายน 2554,731198,,384 645 812 589,28
112,1 กันยายน 2554,724533,,847 021 533 821,85
111,16 สิงหาคม 2554,536960,,814 345 074 005,62
110,1 สิงหาคม 2554,218756,,221 583 660 703,12
109,16 กรกฎาคม 2554,116556,,052 227 534 609,12
108,1 กรกฎาคม 2554,622953,,390 160 780 463,51
107,16 มิถุนายน 2554,351276,,486 167 162 582,88
106,1 มิถุนายน 2554,562370,,346 556 656 801,46
105,16 พฤษภาคม 2554,406417,,044 071 700 889,05
104,2 พฤษภาคม 2554,054136,,133 421 524 945,85
103,16 เมษายน 2554,825988,,263 213 397 593,44
102,1 เมษายน 2554,814931,,723 584 040 036,01
101,16 มีนาคม 2554,593331,,209 463 737 945,96
100,1 มีนาคม 2554,656037,,544 357 926 396,97
99,16 กุมภาพันธ์ 2554,481746,,384 388 510 535,27
98,1 กุมภาพันธ์ 2554,610089,,121 361 432 596,55
97,16 มกราคม 2554,281062,,185 227 546 758,23
96,30 ธันวาคม 2553,884112,,153 186 933 936,49
95,16 ธันวาคม 2553,334380,,306 315 529 533,24
94,1 ธันวาคม 2553,181752,,086 470 474 664,09
93,16 พฤศจิกายน 2553,813993,,129 763 907 979,43
92,1 พฤศจิกายน 2553,191100,,653 739 801 968,59
91,16 ตุลาคม 2553,621377,,310 385 518 872,42
90,1 ตุลาคม 2553,488372,,003 091 246 996,02
89,16 กันยายน 2553,017422,,103  316  431 075,66
88,1 กันยายน 2553,354656,,096 570 656 784,11
87,16 สิงหาคม 2553,911097,,448 578 689 986,64
86,1 สิงหาคม 2553,210008,,182 191 727 769,10
85,16 กรกฎาคม 2553,180387,,024 219 309 572,34
84,1 กรกฎาคม 2553,480239,,450 893 918 961,68
83,16 มิถุนายน 2553,500104,,200 628 681 816,73
82,1 มิถุนายน 2553,444874,,298 374 673 996,81
81,16 พฤษภาคม 2553,480012,,008 151 293 770,12
80,2 พฤษภาคม 2553,360371,,040 382 517 618,06
79,16 เมษายน 2553,211743,,154 285 744 811,96
78,1 เมษายน 2553,959517,,040 174 447 663,22
77,16 มีนาคม 2553,364222,,229 619 756 996,97
76,1 มีนาคม 2553,215227,,457 627 374 470,97
75,16 กุมภาพันธ์ 2553,133707,,026 137 362 985,03
74,1 กุมภาพันธ์ 2553,186312,,403 577 694 936,14
73,16 มกราคม 2553,073577,,413 459 646 781,67
72,30 ธันวาคม 2552,994304,,337 419 598 993,87
71,16 ธันวาคม 2552,685141,,142 524 694 775,05
70,1 ธันวาคม 2552,776980,,188 252 412 937,59
69,16 พฤศจิกายน 2552,055986,,072 299 536 952,58
68,1 พฤศจิกายน 2552,689140,,366 465 642 923,85
67,16 ตุลาคม 2552,258487,,122 135 174 226,00
66,1 ตุลาคม 2552,169387,,255 714 435 249,06
65,16 กันยายน 2552,202912,,166 200 353 539,48
64,1 กันยายน 2552,015865,,435 446 447 924,32
63,16 สิงหาคม 2552,462933,,292 577 658 843,96
62,ผลสลากกินแบ่งรัฐบาล งวดประจำวันที่ 1สิงหาคม2552,154986,,239 374 421 688,92
61,16 กรกฎาคม 2552,000816,,005 177 356 836,94
60,1 กรกฎาคม 2552,207542,,107 233 385 799,66
59,16 มิถุนายน 2552,930456,,044 125 179 954,15
58,1 มิถุนายน 2552,777661,,097 240 242 642,26
57,16 พฤษภาคม 2552,111411,,362 368 838 892,54
56,2 พฤษภาคม 2552,294452,,222 301 549 947,11
55,16 เมษายน 2552,368415,,007 179 570 954,33
54,1 เมษายน 2552,816578,,044 113 363 572,50
53,16 มีนาคม 2552,268812,,063 228 424 929,36
52,1 มีนาคม 2552,553091,,224 238 295 665,67
51,16 กุมภาพันธ์ 2552,038730,,115 434 939 961,93
50,1 กุมภาพันธ์ 2552,534533,,015 427 660 777,69
49,16 มกราคม 2552,743212,,266 800 842 885,25
48,30 ธันวาคม 2551,218596,,094 197 831 984,22
47,16 ธันวาคม 2551,074114,,305 715 803 959,25
46,1 ธันวาคม 2551,205434,,013 260 617 957,05
45,16 พฤศจิกายน 2551,002612,,068 589 824 877,20
44,1 พฤศจิกายน 2551,272028,,285 333 421 929,76
43,16 ตุลาคม 2551,431277,,324 526 644 648,98
42,1 ตุลาคม 2551,882911,,204 302 311 395,67
41,16 กันยายน 2551,012377,,378 534 557 691,56
40,1 กันยายน 2551,695993,,027 206 413 904,09
39,16 สิงหาคม 2551,380377,,161 445 457 744,36
38,1 สิงหาคม 2551,850348,,236 386 408 913,11
37,16 กรกฎาคม 2551,257374,,344 401 486 576,41
36,1 กรกฎาคม 2551,943671,,096 287 490 523,50
35,16 มิถุนายน 2551,729111,,339 345 639 870,75
34,1 มิถุนายน 2551,414875,,370 666 747 916,35
33,16 พฤษภาคม 2551,329231,,193 120 355 214,69
32,2 พฤษภาคม 2551,453011,,001 133 001 792,62
31,16 เมษายน 2551,982800,,008 043 584 802,64
30,1 เมษายน 2551,012653,,124 195 200 586,71
29,16 มีนาคม 2551,074946,,077 974 085 158,33
28,1 มีนาคม 2551,936685,,056 085 371 691,05
27,16 กุมภาพันธ์ 2551,137054,,344 512 630 892,80
26,1 กุมภาพันธ์ 2551,212684,,311 472 732 796,26
25,16 มกราคม 2551,556010,,413 548 942 965,81
24,30 ธันวาคม 2550,595411,,267 490 741 787,81
23,16 ธันวาคม 2550,513501,,425 432 460 702,96
22,16 พฤศจิกายน 2550,562481,,130 198 752 844,73
21,1 พฤศจิกายน 2550,927907,,213 277 524 648,88
20,16 ตุลาคม 2550,032988,,158 663 685 846,48
19,1 ตุลาคม 2550,430667,,090 104 126 667,76
18,16 กันยายน 2550,499336,,247 273 604 608,45
17,1 กันยายน 2550,331810,,293 505 518 520,69
16,16 สิงหาคม 2550,476207,,234 236 312 424,93
15,1 สิงหาคม 2550,429924,,006 048 885 962,29
14,16 กรกฎาคม 2550,527384,,105 183 334 947,77
13,1 กรกฎาคม 2550,565151,,146 287 638 949,76
12,16 มิถุนายน 2550,393194,,424 589 907 989,41
11,1 มิถุนายน 2550,836393,,242 433 523 739,05
10,16 พฤษภาคม 2550,232897,,585 751 858 924,25
9,2 พฤษภาคม 2550,430374,,442 553 729 881,81
8,16 เมษายน 2550,405105,,013 522 866 987,63
7,1 เมษายน 2550,622780,,022 677 794 814,93
6,16 มีนาคม 2550,876763,,001 191 350 906,85
5,1 มีนาคม 2550,742425,,294 801 942 949,61
4,16 กุมภาพันธ์ 2550,277859,,384 607 625 979,95
3,1 กุมภาพันธ์ 2550,769925,,239 287 865 893,56
2,16 มกราคม 2550,838739,,263 293 803 845,54
1,30 ธันวาคม 2549,778584,,164 403 811 971,07
