DrawDate,FirstPrize,FirstThree DigitsPrize,LastThreeDigitsPrize,LastTwoDigitsPrize
,,,,
1/6/2022,319196,817 679,213 652,2
,,,,
16/5/2022,155012,247 736,236 540,6
,,,,
2/5/2022,658642,778 518,041 325,9
,,,,
16/4/2022,395919,289 859,413 508,58
,,,,
1/4/2022,970618,738 391,578 870,10
,,,,
16/3/2022,737867,349 985,989 788,3
,,,,
1/3/2022,61905,236 834,234 691,7
,,,,
17/2/2022,98597,085 644,592 816,57
,,,,
1/2/2022,944308,942 061,509 485,30
,,,,
17/1/2022,880159,731 786,119 529,92
,,,,
30/12/2021,819068,591 979,419 547,36
,,,,
16/12/2021,639235,097 629,476 522,83
,,,,
1/12/2021,77258,739 740,401 485,82
,,,,
16/11/2021,32761,648 471,844 245,57
,,,,
1/11/2021,45037,247 458,331 755,95
,,,,
16/10/2021,386372,602 964,295 798,38
,,,,
1/10/2021,578171,285 361,379 449,83
,,,,
16/9/2021,70935,609 817,379 007,90
,,,,
1/9/2021,114475,278 302,123 458,79
,,,,
16/8/2021,46750,421 666,160 355,23
,,,,
1/8/2021,910261,103 307,004 785,69
,,,,
16/7/2021,556725,058 174,233 927,70
,,,,
1/7/2021,713517,794 073,511 414,29
,,,,
16/6/2021,691861,054 007,447 668,17
,,,,
1/6/2021,292972,620 193,978 723,45
,,,,
16/5/2021,684579,615 843,276 970,14
,,,,
2/5/2021,501272,306 018,498 129,18
,,,,
16/4/2021,100787,013 143,264 478,56
,,,,
1/4/2021,472270,755 283,393 577,5
,,,,
16/3/2021,890422,036 902,396 256,19
,,,,
1/3/2021,835538,290 838,051 806,73
,,,,
16/2/2021,424603,861 318,057 817,39
,,,,
1/2/2021,912307,605 248,282 651,97
,,,,
17/1/2021,384395,367 653,566 878,15
,,,,
30/12/2020,803628,336 804,321 924,19
,,,,
16/12/2020,201303,377 828,072 517,70
,,,,
1/12/2020,100994,093 776,834 984,84
,,,,
16/11/2020,972661,368 741,208 255,46
,,,,
1/11/2020,506404,154 598,062 245,40
,,,,
16/10/2020,286051,189 464,980 045,38
,,,,
1/10/2020,837893,594 757,110 595,59
,,,,
16/9/2020,244083,127 220,623 853,57
,,,,
1/9/2020,999997,636 725,342 957,98
,,,,
16/8/2020,945811,712 614,364 733,88
,,,,
1/8/2020,569391,575 931,578 809,92
,,,,
16/7/2020,873286,510 533,682 494,53
,,,,
1/7/2020,347258,095 362,094 307,83
,,,,
16/6/2020,516967,876 882,565 625,64
,,,,
1/6/2020,831567,264 489,562 582,24
,,,,
16/5/2020,51095,285 430,191 364,22
,,,,
1/4/2020,51095,285 430,191 364,22
,,,,
16/3/2020,503446,258 726,404 661,77
,,,,
1/3/2020,875938,294 328,597 780,98
,,,,
16/2/2020,781403,515 952,030 918,94
,,,,
1/2/2020,589227,259 552,375 927,6
,,,,
17/1/2020,491774,004 132,379 595,68
,,,,
